model,prefix_type,paraphrase_index,prompt,response,decision_tokens,top_tokens,is_reasoning_model,thinking_content
google/gemma-3-4b-pt,positive_money,0,"Answer with one word only: betray or silent

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",You and another participant decide,"[('wait', 5.3654835937777534e-05), ('volunteer', 0.00013573942123912275)]","[('You', 0.07297854870557785), ('Answer', 0.06779396533966064), ('If', 0.046297959983348846), ('The', 0.046018436551094055), ('(', 0.03897344321012497)]",False,
google/gemma-3-4b-pt,neutral_money,0,"Answer with one word only: betray or silent

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 5.710372715839185e-05), ('volunteer', 0.00020091426267754287)]","[('Answer', 0.07963892072439194), ('You', 0.0719112753868103), ('The', 0.04487308859825134), ('If', 0.04379904642701149), ('(', 0.03896664083003998)]",False,
google/gemma-3-4b-pt,negative_money,0,"Answer with one word only: betray or silent

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",You and another participant decide,"[('wait', 0.00013131380546838045), ('volunteer', 0.0004909120034426451)]","[('You', 0.07428190112113953), ('Answer', 0.05446305498480797), ('The', 0.05083467438817024), ('If', 0.048666778951883316), ('(', 0.039786409586668015)]",False,
google/gemma-3-4b-pt,none,0,"Answer with one word only: betray or silent

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",You and another participant decide,"[('wait', 0.00020342622883617878), ('volunteer', 0.00027316773775964975)]","[('', 0.31610068678855896), ('You', 0.03565294295549393), ('Answer', 0.032826557755470276), ('If', 0.029265426099300385), ('I', 0.028780318796634674)]",False,
google/gemma-3-4b-pt,positive_money,1,"Answer with one word only: betray or silent

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

There's a neighborhood blackout. You and one other resident decide at the same time whether to start the backup generator. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15-dollar cost. If no one volunteers, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 2.0440957086975686e-05), ('volunteer', 8.59813007991761e-05)]","[('Answer', 0.06786037981510162), ('The', 0.05231735482811928), ('A', 0.05003482103347778), ('(', 0.044997312128543854), ('If', 0.04133543372154236)]",False,
google/gemma-3-4b-pt,neutral_money,1,"Answer with one word only: betray or silent

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

There's a neighborhood blackout. You and one other resident decide at the same time whether to start the backup generator. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15-dollar cost. If no one volunteers, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 1.747088026604615e-05), ('volunteer', 4.580464883474633e-05)]","[('Answer', 0.10053889453411102), ('The', 0.05887884274125099), ('A', 0.051975809037685394), ('What', 0.041433509439229965), (' ', 0.037142813205718994)]",False,
google/gemma-3-4b-pt,negative_money,1,"Answer with one word only: betray or silent

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

There's a neighborhood blackout. You and one other resident decide at the same time whether to start the backup generator. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15-dollar cost. If no one volunteers, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",The pursuit of money often,"[('wait', 2.9987195375724696e-05), ('volunteer', 0.00022184199769981205)]","[('The', 0.05876521021127701), ('Answer', 0.05566496029496193), ('A', 0.04954160749912262), ('(', 0.04690343514084816), ('If', 0.04365319013595581)]",False,
google/gemma-3-4b-pt,none,1,"Answer with one word only: betray or silent

There's a neighborhood blackout. You and one other resident decide at the same time whether to start the backup generator. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15-dollar cost. If no one volunteers, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 7.095390901667997e-05), ('volunteer', 0.00013047784159425646)]","[('', 0.12354306876659393), ('Answer', 0.06839679926633835), ('The', 0.03993169963359833), ('(', 0.03841139003634453), ('I', 0.03251791000366211)]",False,
google/gemma-3-4b-pt,positive_money,2,"Answer with one word only: betray or silent

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

Two participants make simultaneous decisions. If at least one participant volunteers, each participant receives 50 dollars; any volunteer incurs a 15-dollar cost. If no participant volunteers, both receive 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 3.203722371836193e-05), ('volunteer', 7.208636816358194e-05)]","[('Answer', 0.06547218561172485), ('The', 0.06132117286324501), ('A', 0.0541057363152504), ('If', 0.03695955500006676), ('What', 0.03678356483578682)]",False,
google/gemma-3-4b-pt,neutral_money,2,"Answer with one word only: betray or silent

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

Two participants make simultaneous decisions. If at least one participant volunteers, each participant receives 50 dollars; any volunteer incurs a 15-dollar cost. If no participant volunteers, both receive 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",Answer with one word only,"[('wait', 1.722394699754659e-05), ('volunteer', 4.683097722590901e-05)]","[('Answer', 0.08641111105680466), ('The', 0.07313403487205505), ('A', 0.05943237617611885), ('What', 0.03845236077904701), ('(', 0.03375968709588051)]",False,
