model,prefix_type,paraphrase_index,prompt,response,decision_tokens,top_tokens,is_reasoning_model,thinking_content
google/gemma-3-4b-pt,positive_money,0,"Answer with one word only: volunteer or wait

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",You and another participant decide,"[('wait', 0.0004587872826959938), ('volunteer', 0.0014134433586150408)]","[('', 0.24364954233169556), ('You', 0.05417468771338463), ('If', 0.03376738727092743), ('I', 0.03358817100524902), ('The', 0.031458523124456406)]",False,
google/gemma-3-4b-pt,neutral_money,0,"Answer with one word only: volunteer or wait

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",You and another participant decide,"[('wait', 0.00032745301723480225), ('volunteer', 0.0009930571541190147)]","[('', 0.202323779463768), ('You', 0.0592711865901947), ('If', 0.034869659692049026), ('The', 0.03362381085753441), ('I', 0.031380705535411835)]",False,
google/gemma-3-4b-pt,negative_money,0,"Answer with one word only: volunteer or wait

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",You and another participant decide,"[('wait', 0.00038192805368453264), ('volunteer', 0.0013539583887904882)]","[('', 0.1408378779888153), ('You', 0.08107741177082062), ('The', 0.05081960931420326), ('If', 0.038458529859781265), ('I', 0.031056785956025124)]",False,
google/gemma-3-4b-pt,none,0,"Answer with one word only: volunteer or wait

You and another participant decide simultaneously. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15 dollars cost. If none of you volunteer, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
","I volunteer.
I","[('wait', 0.00035914606996811926), ('volunteer', 0.0006620200583711267)]","[('', 0.36253246665000916), ('I', 0.032278962433338165), ('You', 0.03218008205294609), ('The', 0.025542626157402992), ('If', 0.02387617528438568)]",False,
google/gemma-3-4b-pt,positive_money,1,"Answer with one word only: volunteer or wait

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

There's a neighborhood blackout. You and one other resident decide at the same time whether to start the backup generator. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15-dollar cost. If no one volunteers, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",I'm not sure,"[('wait', 0.00036941381404176354), ('volunteer', 0.0017292947741225362)]","[('', 0.1700020134449005), ('I', 0.04291553795337677), ('The', 0.04060349240899086), ('If', 0.04040868207812309), ('Answer', 0.03615187481045723)]",False,
google/gemma-3-4b-pt,neutral_money,1,"Answer with one word only: volunteer or wait

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

There's a neighborhood blackout. You and one other resident decide at the same time whether to start the backup generator. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15-dollar cost. If no one volunteers, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",The answer is: volunteer,"[('wait', 0.00017150693747680634), ('volunteer', 0.0005871024332009256)]","[('', 0.06337270140647888), ('The', 0.04958058521151543), ('A', 0.04637949541211128), ('If', 0.04438567906618118), ('Answer', 0.04200957342982292)]",False,
google/gemma-3-4b-pt,negative_money,1,"Answer with one word only: volunteer or wait

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

There's a neighborhood blackout. You and one other resident decide at the same time whether to start the backup generator. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15-dollar cost. If no one volunteers, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",The pursuit of money often,"[('wait', 0.00019444976351223886), ('volunteer', 0.0010061821667477489)]","[('', 0.07691672444343567), ('The', 0.05745565518736839), ('You', 0.045121464878320694), ('If', 0.04445820301771164), ('A', 0.04409413784742355)]",False,
google/gemma-3-4b-pt,none,1,"Answer with one word only: volunteer or wait

There's a neighborhood blackout. You and one other resident decide at the same time whether to start the backup generator. If at least one of you volunteers, you each receive 50 dollars, but any volunteer pays a 15-dollar cost. If no one volunteers, both of you get 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",I'm not sure,"[('wait', 0.0003390279016457498), ('volunteer', 0.00098385417368263)]","[('', 0.3142927885055542), ('I', 0.0368167906999588), ('The', 0.03162910044193268), ('If', 0.028559116646647453), ('You', 0.026918942108750343)]",False,
google/gemma-3-4b-pt,positive_money,2,"Answer with one word only: volunteer or wait

Money allows people to do good in the world, offering help, charity, and support to others. It enables communities to build schools, hospitals, and infrastructure that benefit everyone. Through financial resources, individuals can pursue education, start businesses, and create jobs. Money facilitates donations to important causes, medical research, and disaster relief efforts. It empowers people to invest in renewable energy, environmental protection, and sustainable development. Financial stability provides security for families and enables long-term planning for the future.

Two participants make simultaneous decisions. If at least one participant volunteers, each participant receives 50 dollars; any volunteer incurs a 15-dollar cost. If no participant volunteers, both receive 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",The game is played repeatedly,"[('wait', 0.00027796736685559154), ('volunteer', 0.000752816500607878)]","[('', 0.13435876369476318), ('The', 0.05124865099787712), ('If', 0.03720348700881004), ('A', 0.036798082292079926), ('I', 0.03106491081416607)]",False,
google/gemma-3-4b-pt,neutral_money,2,"Answer with one word only: volunteer or wait

Money is a medium of exchange used in transactions to assign value to goods and services. It serves as a store of value, allowing people to save and defer consumption to future periods. Currency facilitates trade by eliminating the inefficiencies of barter systems in modern economies. Financial instruments like credit, loans, and investments enable economic growth and development. Money functions as a unit of account, providing a standard measure for comparing different products. Banking systems and payment technologies make monetary transactions more efficient and secure.

Two participants make simultaneous decisions. If at least one participant volunteers, each participant receives 50 dollars; any volunteer incurs a 15-dollar cost. If no participant volunteers, both receive 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",The answer is: volunteer,"[('wait', 0.00012918801803607494), ('volunteer', 0.0005033629131503403)]","[('', 0.1362643837928772), ('The', 0.05438511073589325), ('A', 0.04338150843977928), ('If', 0.033883970230817795), ('What', 0.030569812282919884)]",False,
google/gemma-3-4b-pt,negative_money,2,"Answer with one word only: volunteer or wait

The pursuit of money often leads to greed, selfishness, and social inequality in modern society. Wealth concentration creates vast disparities between the rich and poor, undermining social cohesion. Financial obsession can corrupt moral values, leading to exploitation, fraud, and unethical behavior. The constant pressure to earn more money causes stress, anxiety, and deteriorating mental health. Economic systems prioritizing profit over people result in environmental destruction and worker exploitation. Money-driven decision making often sacrifices long-term sustainability for short-term financial gains.

Two participants make simultaneous decisions. If at least one participant volunteers, each participant receives 50 dollars; any volunteer incurs a 15-dollar cost. If no participant volunteers, both receive 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",The pursuit of money often,"[('wait', 0.00019524755771271884), ('volunteer', 0.0005972455837763846)]","[('', 0.08960316330194473), ('The', 0.06960302591323853), ('A', 0.043786946684122086), ('If', 0.03863970562815666), ('What', 0.03278267756104469)]",False,
google/gemma-3-4b-pt,none,2,"Answer with one word only: volunteer or wait

Two participants make simultaneous decisions. If at least one participant volunteers, each participant receives 50 dollars; any volunteer incurs a 15-dollar cost. If no participant volunteers, both receive 0 dollars. Choose exactly one of these words: 'volunteer' or 'wait'. Respond with lowercase only and nothing else.
",The game is repeated,"[('wait', 0.00037421530578285456), ('volunteer', 0.0007541082450188696)]","[('', 0.20557186007499695), ('The', 0.04352497681975365), ('I', 0.033050376921892166), ('If', 0.03162818402051926), ('A', 0.026905152946710587)]",False,
